Cluster,Hybrid
26,P1046:P1954
8,P1046:P1966
8,P1046:P1967
8,P1046:P1968
8,P1046:P1969
8,P1046:P1970
8,P1046:P1978
8,P1046:P1979
21,P1046:P1983
8,P1046:P1984
8,P1046:P1990
26,P1046:P1993
11,P1046:P2025
46,P1046:P2030
8,P1046:P2120
26,P1046:P2134
8,P1046:P2136
26,P1046:P2139
8,P1046:P2212
26,P1046:P2219
8,P1046:P2220
26,P1046:P2223
26,P1046:P2225
26,P1046:P2228
8,P1046:P2254
8,P1046:P2284
26,P1046:P2293
26,P1046:P2295
26,P1046:P2296
8,P1046:P2323
8,P1046:P2388
8,P1046:P2394
8,P1046:P2395
8,P1046:P2398
8,P1046:P2400
8,P1046:P2410
8,P1046:P2436
8,P1046:P2445
8,P1046:P2450
8,P1046:P2458
26,P1046:P2483
26,P1046:P2484
8,P1046:P2564
26,P1046:P2569
26,P1046:P2574
26,P1046:P2587
8,P1046:P2592
26,P1046:P2600
26,P1046:P2604
26,P1046:P2606
26,P1046:P2607
26,P1046:P2608
8,P1046:P2617
26,P1046:P2663
26,P1046:P2664
36,P1047:P1975
18,P1047:P2032
0,P1048:P1978
42,P1049:P1778
52,P1050:P1979
40,P1051:P1482
40,P1051:P1513
40,P1051:P1514
52,P1051:P1685
40,P1051:P1686
40,P1051:P1687
40,P1051:P1689
40,P1051:P1708
40,P1051:P1723
40,P1051:P1726
40,P1051:P1729
40,P1051:P1730
40,P1051:P1735
52,P1051:P1736
40,P1051:P1746
40,P1051:P1764
40,P1051:P1914
52,P1051:P2000
40,P1051:P2009
40,P1051:P2010
40,P1051:P2693
40,P1051:P2694
40,P1052:P1676
40,P1053:P1676
40,P1053:P1709
40,P1053:P1716
40,P1053:P1722
52,P1054:P1978
18,P1055:P1128
18,P1055:P1674
7,P1056:P1379
16,P1057:P1716
68,P1057:P1720
12,P1057:P1735
12,P1057:P1737
68,P1058:P1492
16,P1058:P1716
68,P1058:P1758
12,P1058:P1767
68,P1058:P1841
12,P1058:P1914
68,P1058:P1926
64,P1059:P1739
42,P1060:P1142
1,P1060:P1144
1,P1060:P1176
1,P1060:P1490
1,P1060:P1493
1,P1060:P1514
1,P1060:P1555
1,P1060:P1557
1,P1060:P1575
1,P1060:P1593
1,P1060:P1612
1,P1060:P1617
1,P1060:P1621
1,P1060:P1705
1,P1060:P1712
1,P1060:P1722
1,P1060:P1728
1,P1060:P1740
1,P1060:P1757
1,P1060:P1760
1,P1060:P1773
1,P1060:P1783
1,P1060:P1788
42,P1060:P1940
42,P1060:P2041
42,P1060:P2042
1,P1060:P2660
42,P1061:P1778
68,P1062:P1720
42,P1063:P1627
42,P1063:P1762
42,P1063:P1778
42,P1063:P1797
42,P1063:P1801
1,P1063:P1823
1,P1063:P1828
42,P1063:P2214
25,P1064:P1156
42,P1064:P1778
46,P1064:P2030
32,P1065:P1173
56,P1065:P1178
52,P1065:P1179
74,P1065:P1681
39,P1065:P1733
36,P1065:P1759
0,P1065:P1912
0,P1065:P1989
52,P1065:P2001
46,P1065:P2030
9,P1065:P2309
10,P1066:P1753
43,P1066:P1776
74,P1066:P1918
19,P1066:P1958
1,P1067:P1173
1,P1067:P1493
60,P1067:P1637
1,P1067:P1723
1,P1067:P1727
1,P1067:P1755
52,P1067:P1780
1,P1067:P1785
1,P1067:P1793
1,P1067:P1811
1,P1067:P1818
1,P1067:P1825
42,P1067:P1826
42,P1067:P1848
1,P1067:P1909
1,P1067:P1927
0,P1067:P1978
42,P1067:P2238
1,P1067:P2243
1,P1067:P2254
1,P1067:P2292
42,P1067:P2390
42,P1067:P2570
42,P1067:P2580
74,P1068:P1818
74,P1068:P1820
74,P1068:P1824
0,P1068:P1976
0,P1068:P1986
0,P1068:P2481
74,P1068:P2661
32,P1070:P1171
5,P1070:P1716
18,P1070:P1767
33,P1071:P1775
43,P1071:P1783
45,P1071:P1978
45,P1072:P1978
45,P1072:P1979
33,P1072:P2659
23,P1073:P1686
49,P1074:P1294
5,P1091:P1716
45,P1091:P1978
45,P1091:P1979
9,P1091:P2317
33,P1091:P2662
4,P1092:P1119
0,P1093:P1978
0,P1093:P1979
33,P1094:P1142
33,P1094:P1167
33,P1094:P1481
33,P1094:P1500
60,P1094:P1637
45,P1094:P1810
45,P1094:P1968
45,P1094:P1978
45,P1094:P1979
21,P1094:P1983
33,P1094:P2028
33,P1094:P2126
33,P1094:P2288
33,P1094:P2307
33,P1094:P2423
33,P1094:P2463
33,P1094:P2464
33,P1094:P2563
33,P1094:P2660
33,P1094:P2662
33,P1094:P2681
25,P1095:P1156
46,P1095:P2030
38,P1116:P1386
38,P1116:P1387
38,P1116:P1394
38,P1116:P1537
5,P1117:P1537
49,P1118:P1295
49,P1118:P1320
4,P1119:P1195
4,P1119:P1199
4,P1119:P1201
4,P1119:P1209
4,P1119:P1214
4,P1119:P1309
4,P1120:P1219
4,P1120:P1240
4,P1120:P1301
52,P1121:P1318
17,P1127:P1219
72,P1127:P1298
34,P1129:P1905
17,P1130:P1240
17,P1130:P1243
2,P1130:P1306
17,P1131:P1240
17,P1132:P1209
69,P1132:P1217
17,P1132:P1249
69,P1133:P1217
18,P1134:P1189
2,P1134:P1305
46,P1135:P1343
69,P1137:P1217
69,P1137:P1283
7,P1138:P1185
73,P1139:P1189
73,P1139:P1219
36,P1139:P1246
73,P1139:P1257
72,P1139:P1298
73,P1139:P2064
0,P1140:P1223
22,P1141:P1243
22,P1141:P1293
22,P1142:P1240
22,P1142:P1243
22,P1142:P1480
22,P1142:P1659
22,P1142:P2064
22,P1142:P2149
22,P1142:P2179
22,P1142:P2180
22,P1142:P2350
22,P1142:P2352
22,P1142:P2475
22,P1142:P2493
22,P1142:P2497
22,P1142:P2499
22,P1142:P2505
22,P1142:P2506
22,P1142:P2511
22,P1142:P2637
52,P1143:P1267
19,P1144:P1319
52,P1146:P1280
52,P1147:P1294
0,P1148:P1244
4,P1149:P1201
69,P1149:P1217
49,P1150:P1295
49,P1151:P1317
49,P1152:P1295
35,P1153:P1304
69,P1154:P1240
49,P1155:P1294
52,P1156:P1203
25,P1156:P1222
52,P1156:P1225
25,P1156:P1227
25,P1156:P1257
25,P1156:P1263
25,P1156:P1285
25,P1156:P1295
25,P1156:P1296
25,P1156:P1311
25,P1156:P1312
25,P1156:P1316
25,P1156:P1317
25,P1156:P1318
52,P1156:P1332
25,P1156:P1336
25,P1156:P1337
25,P1156:P1341
25,P1156:P1480
25,P1156:P2057
52,P1156:P2193
25,P1156:P2204
25,P1156:P2367
25,P1156:P2369
25,P1156:P2372
25,P1156:P2382
25,P1156:P2478
25,P1156:P2547
25,P1156:P2549
25,P1156:P2553
25,P1156:P2556
25,P1156:P2558
25,P1156:P2562
25,P1156:P2682
25,P1156:P2684
6,P1157:P1300
6,P1157:P1309
6,P1157:P1318
6,P1157:P1319
6,P1157:P1320
6,P1157:P1323
6,P1157:P1328
6,P1157:P1329
6,P1157:P1480
6,P1157:P2380
6,P1157:P2509
6,P1157:P2518
6,P1157:P2548
6,P1157:P2554
6,P1157:P2560
6,P1157:P2683
52,P1157:P2686
49,P1159:P1284
13,P1159:P2154
13,P1159:P2203
8,P1160:P1208
27,P1160:P1318
27,P1160:P1329
44,P1160:P1343
8,P1161:P1208
27,P1161:P1320
69,P1162:P1208
72,P1162:P1223
49,P1162:P1279
49,P1162:P1302
35,P1162:P1304
69,P1162:P2640
6,P1163:P1336
46,P1164:P1206
46,P1164:P1264
49,P1165:P1295
4,P1166:P1234
62,P1167:P1289
34,P1167:P1320
50,P1168:P1237
34,P1168:P1262
62,P1168:P1289
34,P1168:P1294
34,P1168:P1295
72,P1168:P1298
34,P1168:P1302
34,P1168:P1316
34,P1168:P1697
34,P1168:P1726
34,P1168:P1889
34,P1168:P1892
34,P1168:P1898
34,P1168:P1899
34,P1168:P1901
34,P1168:P1905
34,P1168:P2150
34,P1168:P2172
34,P1168:P2186
34,P1168:P2187
34,P1168:P2198
34,P1169:P1295
34,P1170:P1195
32,P1171:P1185
32,P1171:P1187
32,P1171:P1191
32,P1171:P1195
32,P1171:P1196
32,P1171:P1240
32,P1171:P1241
32,P1171:P1258
32,P1171:P1464
32,P1171:P1507
32,P1171:P1850
32,P1171:P1854
32,P1171:P1863
32,P1171:P1866
32,P1171:P2015
15,P1172:P1187
32,P1173:P1195
15,P1174:P1186
15,P1175:P1854
15,P1176:P1187
41,P1176:P1237
15,P1176:P1505
73,P1177:P1240
34,P1177:P2150
18,P1183:P1288
23,P1184:P1686
7,P1185:P1580
7,P1185:P1597
7,P1185:P1713
7,P1185:P1714
7,P1185:P1718
7,P1185:P1737
7,P1185:P1743
7,P1185:P1750
7,P1185:P1752
7,P1185:P1754
7,P1185:P1756
7,P1185:P1766
7,P1185:P1790
7,P1185:P1796
7,P1185:P1945
7,P1185:P2006
39,P1186:P1537
59,P1186:P1591
59,P1186:P1716
15,P1186:P1738
15,P1186:P1750
70,P1186:P1753
36,P1186:P1787
36,P1186:P1788
15,P1186:P1840
15,P1186:P1917
15,P1187:P1623
59,P1187:P1625
15,P1187:P1627
15,P1187:P1751
15,P1187:P1767
36,P1187:P1769
15,P1187:P1772
15,P1187:P1822
52,P1187:P1972
15,P1187:P2034
15,P1187:P2663
58,P1188:P1694
58,P1188:P1792
39,P1189:P1537
64,P1189:P1678
65,P1189:P1742
3,P1189:P1765
3,P1189:P1770
3,P1189:P1926
3,P1189:P1956
73,P1189:P1975
36,P1190:P1787
70,P1191:P1743
63,P1192:P1536
63,P1192:P1537
63,P1192:P1566
63,P1192:P1581
63,P1192:P1625
63,P1192:P1686
70,P1192:P1753
63,P1192:P1923
12,P1193:P1722
68,P1193:P1743
12,P1193:P1767
20,P1193:P2426
52,P1194:P1743
52,P1195:P1690
66,P1195:P1809
74,P1195:P1814
36,P1195:P1826
15,P1195:P1945
44,P1195:P1968
17,P1195:P2312
44,P1195:P2395
17,P1195:P2449
58,P1196:P1488
52,P1196:P1491
58,P1196:P1496
58,P1196:P1498
58,P1196:P1525
58,P1196:P1532
58,P1196:P1538
58,P1196:P1541
58,P1196:P1595
58,P1196:P1624
58,P1196:P1634
58,P1196:P1733
58,P1196:P1747
58,P1196:P1789
58,P1196:P1919
58,P1196:P1923
58,P1196:P1925
58,P1196:P1927
58,P1196:P2069
58,P1196:P2266
9,P1197:P2392
52,P1198:P2030
44,P1199:P1978
11,P1199:P2025
66,P1199:P2386
44,P1199:P2388
66,P1199:P2397
46,P1199:P2431
52,P1199:P2593
9,P1199:P2618
0,P1200:P1981
66,P1201:P1809
9,P1201:P2624
71,P1202:P1501
74,P1204:P1824
55,P1204:P2441
9,P1205:P2441
9,P1206:P2442
9,P1206:P2456
44,P1207:P1978
44,P1207:P2096
44,P1207:P2326
8,P1208:P1682
66,P1208:P1794
8,P1208:P1977
8,P1208:P1979
8,P1208:P1981
8,P1208:P1982
21,P1208:P1983
8,P1208:P1988
8,P1208:P2037
8,P1208:P2038
3,P1208:P2071
8,P1208:P2093
26,P1208:P2095
8,P1208:P2096
73,P1208:P2102
22,P1208:P2119
8,P1208:P2124
3,P1208:P2223
8,P1208:P2262
8,P1208:P2324
17,P1208:P2336
8,P1208:P2396
8,P1208:P2403
8,P1208:P2448
8,P1208:P2566
8,P1208:P2568
52,P1208:P2593
8,P1208:P2617
17,P1208:P2620
17,P1208:P2628
44,P1210:P1978
9,P1211:P2444
13,P1212:P2030
46,P1213:P2023
20,P1213:P2028
9,P1213:P2339
52,P1213:P2443
37,P1214:P1821
0,P1214:P1979
37,P1214:P2028
52,P1215:P1978
52,P1215:P1979
66,P1216:P1980
21,P1216:P1983
46,P1216:P2029
46,P1216:P2432
66,P1216:P2482
44,P1216:P2567
60,P1217:P1637
69,P1217:P1812
74,P1217:P1814
11,P1217:P2025
69,P1217:P2099
69,P1217:P2128
69,P1217:P2240
69,P1217:P2395
69,P1217:P2406
69,P1217:P2408
20,P1217:P2599
46,P1218:P2026
3,P1219:P1787
3,P1219:P1795
3,P1219:P1797
73,P1219:P1798
10,P1219:P1946
21,P1219:P1983
28,P1219:P2025
73,P1219:P2087
22,P1219:P2126
73,P1219:P2137
20,P1219:P2251
17,P1219:P2287
34,P1219:P2340
20,P1219:P2426
17,P1219:P2457
28,P1219:P2461
0,P1219:P2578
20,P1219:P2582
20,P1219:P2586
0,P1219:P2604
20,P1219:P2605
52,P1219:P2626
17,P1220:P2314
44,P1221:P1978
44,P1221:P2222
17,P1221:P2621
18,P1223:P2659
44,P1224:P1978
46,P1224:P2026
20,P1226:P2028
73,P1227:P1777
17,P1227:P2144
74,P1227:P2239
17,P1227:P2287
25,P1227:P2412
69,P1227:P2435
21,P1227:P2577
37,P1228:P2447
0,P1228:P2571
52,P1228:P2593
17,P1228:P2620
66,P1229:P1980
28,P1229:P2025
37,P1229:P2255
17,P1229:P2314
25,P1229:P2331
37,P1229:P2431
37,P1229:P2457
37,P1229:P2607
17,P1230:P2312
46,P1231:P2030
46,P1232:P2030
46,P1233:P2030
18,P1236:P1676
64,P1236:P1722
41,P1237:P1552
41,P1237:P1569
41,P1237:P1581
41,P1237:P1588
41,P1237:P1630
60,P1237:P1637
41,P1237:P1688
41,P1237:P1701
41,P1237:P1716
41,P1237:P1738
41,P1237:P1749
41,P1237:P1783
41,P1237:P1801
41,P1237:P1803
50,P1237:P1810
41,P1237:P1828
41,P1237:P1841
50,P1237:P1843
41,P1237:P1923
41,P1237:P1927
41,P1237:P1938
41,P1237:P1943
41,P1237:P1946
41,P1237:P1953
41,P1237:P1971
50,P1237:P1977
28,P1237:P2025
41,P1237:P2040
41,P1237:P2068
50,P1237:P2082
50,P1237:P2083
41,P1237:P2091
50,P1237:P2100
41,P1237:P2103
41,P1237:P2122
50,P1237:P2131
50,P1237:P2138
41,P1237:P2223
41,P1237:P2229
41,P1237:P2231
41,P1237:P2247
41,P1237:P2248
50,P1237:P2280
50,P1237:P2283
50,P1237:P2291
41,P1237:P2298
50,P1237:P2320
50,P1237:P2327
50,P1237:P2335
41,P1237:P2341
50,P1237:P2395
50,P1237:P2415
9,P1237:P2442
41,P1237:P2452
41,P1237:P2453
52,P1237:P2455
41,P1237:P2460
50,P1237:P2581
50,P1237:P2585
50,P1237:P2610
41,P1237:P2622
41,P1237:P2625
44,P1238:P1978
66,P1239:P2324
17,P1240:P1485
73,P1240:P1489
17,P1240:P1511
73,P1240:P1782
66,P1240:P1794
73,P1240:P1807
73,P1240:P1808
74,P1240:P1821
73,P1240:P1847
0,P1240:P1978
0,P1240:P1989
20,P1240:P2028
46,P1240:P2030
73,P1240:P2072
17,P1240:P2316
17,P1240:P2318
13,P1240:P2332
17,P1240:P2387
0,P1240:P2388
17,P1240:P2392
0,P1240:P2395
73,P1240:P2421
73,P1240:P2423
17,P1240:P2442
17,P1240:P2454
17,P1240:P2621
52,P1240:P2688
47,P1241:P1499
3,P1241:P1797
73,P1241:P1798
73,P1241:P1951
21,P1242:P1983
73,P1243:P1489
73,P1243:P1753
73,P1243:P1784
3,P1243:P1797
73,P1243:P1798
73,P1243:P1803
73,P1243:P1804
73,P1243:P1945
0,P1243:P1968
73,P1243:P1975
73,P1243:P2043
73,P1243:P2069
73,P1243:P2087
34,P1243:P2120
73,P1243:P2232
73,P1243:P2233
73,P1243:P2236
0,P1243:P2321
46,P1243:P2435
52,P1243:P2575
21,P1243:P2590
21,P1243:P2594
21,P1243:P2598
43,P1245:P1776
3,P1245:P1797
0,P1245:P1978
52,P1245:P2101
18,P1247:P2659
46,P1248:P2030
74,P1249:P1785
66,P1249:P1794
74,P1249:P1813
21,P1249:P1983
71,P1250:P1501
20,P1251:P2092
71,P1252:P1501
28,P1253:P2025
74,P1254:P1783
74,P1255:P1814
73,P1255:P1951
3,P1255:P1958
73,P1255:P1975
20,P1255:P2028
73,P1255:P2068
3,P1255:P2223
0,P1256:P1978
73,P1257:P1803
73,P1257:P2102
0,P1257:P2395
44,P1259:P1978
20,P1259:P2028
18,P1259:P2661
44,P1260:P1988
44,P1260:P1989
11,P1260:P2025
46,P1260:P2030
17,P1260:P2314
49,P1260:P2432
17,P1260:P2621
20,P1261:P2028
9,P1264:P2309
9,P1264:P2442
46,P1265:P2030
9,P1266:P2314
9,P1268:P2392
0,P1269:P1978
21,P1269:P1983
66,P1269:P1987
28,P1269:P2025
17,P1269:P2315
9,P1270:P2309
52,P1271:P2030
44,P1272:P1978
3,P1273:P1797
46,P1274:P2030
44,P1275:P1978
73,P1276:P1807
0,P1276:P1815
3,P1276:P1817
28,P1276:P2025
17,P1276:P2289
13,P1276:P2334
3,P1277:P1795
21,P1278:P1983
46,P1281:P2027
46,P1281:P2030
52,P1282:P1978
46,P1286:P2030
62,P1289:P1378
62,P1289:P1486
62,P1289:P1829
62,P1289:P2141
52,P1290:P2442
43,P1291:P1776
39,P1292:P1537
24,P1292:P1684
24,P1292:P1827
24,P1292:P1845
52,P1292:P1944
24,P1292:P1948
24,P1292:P1952
24,P1292:P1959
24,P1292:P1960
24,P1292:P1994
24,P1292:P1995
24,P1292:P1997
46,P1292:P2030
24,P1292:P2097
24,P1292:P2120
24,P1292:P2136
24,P1292:P2140
24,P1292:P2141
24,P1292:P2142
24,P1292:P2143
24,P1292:P2213
24,P1292:P2221
24,P1292:P2223
52,P1292:P2224
24,P1292:P2226
24,P1292:P2230
24,P1292:P2234
24,P1292:P2237
24,P1292:P2251
24,P1292:P2260
24,P1292:P2264
24,P1292:P2265
24,P1292:P2270
24,P1292:P2272
24,P1292:P2279
24,P1292:P2286
24,P1292:P2335
24,P1292:P2337
24,P1292:P2340
24,P1292:P2410
24,P1292:P2417
24,P1292:P2419
24,P1292:P2456
24,P1292:P2580
24,P1292:P2584
24,P1292:P2601
24,P1292:P2614
24,P1292:P2629
70,P1293:P1768
34,P1293:P1791
74,P1293:P1814
34,P1293:P1837
34,P1293:P1842
70,P1293:P1955
0,P1293:P1968
21,P1293:P1983
34,P1293:P2036
49,P1294:P2030
49,P1294:P2334
52,P1294:P2688
34,P1295:P2038
17,P1296:P2314
18,P1296:P2664
66,P1297:P1980
21,P1297:P1983
0,P1297:P1989
56,P1298:P1799
72,P1298:P1809
56,P1298:P1958
72,P1298:P2025
72,P1298:P2039
72,P1298:P2070
72,P1298:P2088
56,P1298:P2089
72,P1298:P2090
56,P1298:P2248
56,P1298:P2273
56,P1298:P2276
72,P1298:P2287
9,P1298:P2309
72,P1298:P2325
72,P1298:P2328
72,P1298:P2330
72,P1298:P2333
56,P1298:P2336
72,P1298:P2420
72,P1298:P2422
72,P1298:P2434
72,P1298:P2438
72,P1298:P2461
56,P1298:P2589
72,P1298:P2591
72,P1298:P2612
72,P1298:P2613
60,P1299:P1637
43,P1299:P1776
66,P1299:P1794
73,P1299:P1798
74,P1299:P1814
34,P1299:P1816
34,P1299:P1829
13,P1299:P2023
18,P1299:P2032
13,P1299:P2067
20,P1299:P2072
34,P1299:P2120
13,P1299:P2332
20,P1299:P2407
20,P1299:P2421
17,P1299:P2454
17,P1299:P2456
0,P1299:P2459
20,P1299:P2602
17,P1300:P2314
74,P1301:P1824
43,P1303:P1776
29,P1303:P1778
29,P1303:P1779
29,P1303:P1781
29,P1303:P1826
29,P1303:P1956
29,P1303:P1964
29,P1303:P1974
29,P1303:P2226
29,P1303:P2227
29,P1303:P2228
9,P1303:P2309
29,P1303:P2386
29,P1303:P2454
35,P1304:P1683
35,P1304:P1760
35,P1304:P1798
35,P1304:P1809
35,P1304:P1815
35,P1304:P1819
35,P1304:P1821
46,P1304:P2030
35,P1304:P2067
35,P1304:P2131
35,P1304:P2210
35,P1304:P2218
35,P1304:P2409
35,P1304:P2413
35,P1304:P2416
35,P1304:P2430
35,P1304:P2436
35,P1304:P2437
35,P1304:P2603
35,P1304:P2609
35,P1304:P2659
35,P1304:P2664
2,P1305:P1554
2,P1305:P1575
2,P1305:P1635
2,P1305:P1716
2,P1305:P1802
2,P1305:P1833
2,P1305:P1983
2,P1305:P1988
2,P1305:P2121
2,P1305:P2129
2,P1305:P2131
52,P1305:P2215
2,P1305:P2216
2,P1305:P2217
2,P1305:P2235
2,P1305:P2242
51,P1305:P2294
2,P1305:P2297
2,P1305:P2307
2,P1305:P2619
2,P1306:P1800
19,P1306:P2102
28,P1307:P2025
73,P1307:P2068
3,P1307:P2223
34,P1307:P2329
0,P1307:P2395
2,P1308:P2405
47,P1309:P1499
71,P1309:P1501
2,P1309:P1733
10,P1309:P1784
2,P1309:P1836
2,P1309:P2132
2,P1309:P2133
2,P1309:P2252
2,P1309:P2265
2,P1309:P2269
2,P1309:P2278
17,P1309:P2314
2,P1309:P2565
34,P1310:P2038
17,P1311:P2144
52,P1313:P1978
21,P1314:P1983
52,P1315:P2030
60,P1316:P1637
34,P1316:P1831
49,P1316:P1839
34,P1316:P1844
73,P1316:P1959
74,P1316:P2079
34,P1316:P2080
17,P1316:P2144
34,P1316:P2340
11,P1316:P2414
49,P1316:P2436
49,P1317:P2030
49,P1317:P2332
49,P1317:P2432
57,P1318:P1814
27,P1318:P1978
27,P1318:P1979
57,P1318:P2026
57,P1318:P2028
55,P1318:P2144
57,P1318:P2282
57,P1318:P2311
55,P1318:P2337
27,P1318:P2391
27,P1318:P2401
57,P1318:P2412
57,P1318:P2413
57,P1318:P2416
57,P1318:P2424
57,P1318:P2453
57,P1318:P2461
27,P1318:P2568
57,P1318:P2607
57,P1318:P2667
52,P1318:P2687
46,P1319:P2030
19,P1319:P2240
19,P1319:P2245
19,P1319:P2324
20,P1319:P2426
19,P1319:P2630
9,P1319:P2633
49,P1320:P2024
27,P1320:P2031
74,P1321:P1821
46,P1321:P2030
46,P1321:P2033
17,P1321:P2312
44,P1322:P1988
46,P1322:P2030
46,P1324:P2030
52,P1325:P2442
46,P1326:P2030
17,P1327:P2310
27,P1329:P1979
21,P1329:P1983
27,P1329:P1984
28,P1329:P2025
55,P1329:P2311
55,P1329:P2318
55,P1329:P2387
55,P1329:P2449
0,P1330:P1979
44,P1331:P1978
52,P1333:P2312
18,P1334:P2485
8,P1335:P1978
46,P1336:P2030
55,P1336:P2309
55,P1336:P2313
27,P1336:P2323
27,P1336:P2395
27,P1337:P1981
27,P1337:P2395
27,P1337:P2396
27,P1337:P2401
57,P1337:P2453
55,P1337:P2633
